LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLA_RANGE,PLANET_RAD,C,A,EMPHEMERIS_TIME,UTC,ORBIT
143.32581,0.32709,-793.43165,395143.78640,3386264.49868,1.13474,0.01346,10186320.42883,2000-04-28T09:51:44.091,15001.04494
143.33499,0.38003,-791.41515,395198.45081,3386219.56605,1.12823,0.01425,10258423.66424,2000-04-29T05:53:36.351,15009.70566
143.34498,0.37127,-785.91009,395155.25740,3386273.30365,1.13089,0.01343,10216844.30866,2000-04-28T18:20:37.174,15002.26547
143.35500,0.58575,-802.12912,395288.94163,3386232.23599,1.12962,0.01358,10299057.32768,2000-04-29T17:10:45.789,15014.63599
143.36499,0.73344,-801.06585,395293.81329,3386287.23103,1.13444,0.01296,10399132.78429,2000-04-30T20:58:44.296,15027.52558
143.37500,0.48813,-798.59126,395187.13989,3386273.91129,1.13397,0.01340,10335154.31473,2000-04-30T03:12:24.033,15021.71195
143.38501,0.54475,-803.11957,395261.67281,3386234.31618,1.13659,0.01376,10291783.16181,2000-04-29T15:09:33.154,15010.57466
143.39500,0.47895,-803.22319,395183.82447,3386274.93322,1.12988,0.01366,10307524.42087,2000-04-29T19:31:49.930,15019.78238
143.40499,0.83202,-811.02228,395370.36646,3386225.00034,1.13286,0.01391,10378314.02905,2000-04-30T15:11:49.107,15024.55318
143.41501,0.44351,-795.63775,395161.96393,3386289.17173,1.13787,0.01326,10369120.05012,2000-04-30T12:38:26.580,15022.22366
143.42500,0.59480,-799.27199,395213.20640,3386265.33837,1.13056,0.01343,10380469.99596,2000-04-30T15:47:35.884,15028.47587
143.43501,0.50994,-802.23854,395213.61816,3386257.02531,1.12942,0.01304,10439240.05987,2000-05-01T08:07:16.505,15038.98340
143.44501,0.59877,-808.18557,395233.40339,3386268.63772,1.13370,0.01398,10294959.98884,2000-04-29T16:02:28.026,15012.76129
143.45500,0.70439,-804.63735,395324.10493,3386237.61064,1.13209,0.01339,10356252.82842,2000-04-30T09:04:01.913,15021.78709
143.46500,0.70817,-805.30110,395287.41381,3386254.81580,1.13426,0.01264,10344562.91106,2000-04-30T05:49:13.850,15026.31866
143.47501,0.66041,-800.29910,395260.19859,3386264.65345,1.13179,0.01351,10358403.25863,2000-04-30T09:39:50.681,15021.58381
143.48501,0.32411,-785.54586,395103.02928,3386295.85078,1.13097,0.01389,10413990.08120,2000-05-01T01:06:24.734,15032.86837
143.49500,0.75727,-796.47793,395263.02364,3386293.29587,1.13363,0.01391,10342505.47525,2000-04-30T05:14:50.341,15022.10576
143.50499,0.53538,-780.91400,395177.31499,3386290.09912,1.13103,0.01382,10439741.12763,2000-05-01T08:15:30.725,15036.99363
143.51498,0.38072,-777.79450,395110.13762,3386293.55145,1.12694,0.01240,10324423.32341,2000-04-30T00:13:32.227,15017.97833
143.52499,0.72558,-797.42457,395267.02457,3386275.06353,1.13140,0.01573,10452680.75500,2000-05-01T11:51:14.216,15037.01471
143.53500,0.66378,-800.14025,395258.63104,3386268.70643,1.14005,0.01686,10337836.28438,2000-04-30T03:56:59.334,15024.67449
143.54499,0.52850,-792.41246,395187.82319,3386280.52532,1.13854,0.01589,10367433.33682,2000-04-30T12:10:25.435,15027.54886
143.55497,0.62108,-797.64060,395268.54204,3386245.62236,1.13617,0.01507,10381730.31422,2000-04-30T16:08:42.109,15025.84366
143.56500,0.81857,-812.15705,395289.42669,3386284.71468,1.14266,0.01535,10313329.21374,2000-04-29T21:08:48.643,15017.17547
143.57499,0.55873,-790.44024,395200.70349,3386277.08990,1.13160,0.01575,10328529.73220,2000-04-30T01:21:51.936,15019.42632
143.58498,0.55876,-786.39274,395154.75228,3386273.64301,1.13288,0.01746,10232053.64550,2000-04-28T22:34:02.155,15009.07882
143.59500,0.82880,-796.47965,395308.33736,3386257.48402,1.13698,0.01649,10394698.36601,2000-04-30T19:44:57.594,15024.93554
143.60501,0.06743,-771.76837,394985.40912,3386302.48792,1.13998,0.01539,10325912.26518,2000-04-30T00:38:11.566,15021.56714
143.61499,0.56344,-796.49397,395162.77982,3386277.87765,1.14198,0.01463,10278273.20902,2000-04-29T11:24:22.551,15015.05839
143.62500,0.73702,-799.46935,395266.23080,3386264.11766,1.13976,0.01468,10344562.35219,2000-04-30T05:49:11.751,15023.47444
143.63499,0.49729,-782.52389,395138.90132,3386289.18914,1.13612,0.01410,10354357.77250,2000-04-30T08:32:34.743,15019.66735
143.64499,0.43595,-776.76261,395096.52054,3386295.66045,1.13183,0.01535,10353443.45113,2000-04-30T08:17:18.212,15025.24041
143.65501,0.59447,-782.37286,395195.23418,3386255.82890,1.13201,0.01691,10359632.47828,2000-04-30T10:00:20.279,15026.00505
143.66503,0.45657,-778.00785,395129.35984,3386276.38998,1.13362,0.01711,10325159.28035,2000-04-30T00:25:47.260,15015.13742
143.67500,0.44590,-781.22535,395091.99003,3386332.59654,1.12886,0.01691,10400659.84595,2000-04-30T21:24:10.976,15028.78466
143.68501,0.58303,-782.79896,395150.12428,3386273.38446,1.12833,0.01631,10399253.16054,2000-04-30T21:00:46.831,15030.58397
143.69501,0.39871,-772.75948,395065.33881,3386329.57866,1.12932,0.01623,10354534.31871,2000-04-30T08:35:22.611,15021.13162
143.70500,0.40134,-774.25141,395086.31228,3386293.55556,1.12607,0.01675,10358139.24783,2000-04-30T09:35:26.650,15027.84987
143.71499,-0.03861,-765.18975,394915.96523,3386285.68927,1.13456,0.01927,10358243.27734,2000-04-30T09:37:13.809,15024.45615
143.72500,0.46264,-776.71116,395121.09002,3386290.23900,1.13152,0.02073,10471839.00687,2000-05-01T17:10:37.360,15039.27118
143.73500,0.62571,-783.83092,395207.76860,3386287.63211,1.13872,0.01901,10349245.57042,2000-04-30T07:07:20.023,15021.41980
143.74498,0.08533,-760.78243,394989.69613,3386267.40791,1.13508,0.01800,10310018.80630,2000-04-29T20:13:30.335,15014.28121
143.75499,0.18257,-762.32517,394971.16989,3386314.70772,1.14010,0.01870,10316455.07942,2000-04-29T22:00:37.015,15020.13063
143.76498,0.39821,-778.37724,395023.41375,3386329.31158,1.13265,0.01825,10258549.55865,2000-04-29T05:55:46.487,15006.43216
