LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLA_RANGE,PLANET_RAD,C,A,EMPHEMERIS_TIME,UTC,ORBIT
90.00499,1.10108,-1875.76485,394692.95879,3385619.32194,1.13547,0.01901,10346444.54079,2000-04-30T06:20:18.807,15032.90375
90.01500,1.10678,-1878.42347,394698.79682,3385593.12331,1.13507,0.01790,10391765.41783,2000-04-30T18:55:40.361,15038.42291
90.02500,1.26233,-1891.42035,394781.43592,3385585.86966,1.14251,0.02194,10408520.89947,2000-04-30T23:34:50.149,15040.05397
90.03499,1.12655,-1894.40046,394681.47373,3385644.31444,1.13360,0.02228,10437656.14430,2000-05-01T07:40:27.989,15050.08577
90.04500,1.25446,-1891.03551,394793.26656,3385562.88478,1.12936,0.02280,10399904.98956,2000-04-30T21:11:25.588,15045.45347
90.05499,1.31227,-1898.17797,394761.42529,3385607.00071,1.14181,0.01993,10455060.20883,2000-05-01T12:30:42.120,15051.22281
90.06500,1.09491,-1886.12568,394729.95558,3385597.91438,1.13958,0.02106,10443154.66605,2000-05-01T09:12:17.433,15055.55749
90.07500,1.04996,-1869.27442,394688.74853,3385597.03949,1.14057,0.02093,10445700.64368,2000-05-01T09:54:42.438,15047.23405
90.08501,1.53421,-1893.32952,394877.22322,3385602.47462,1.14276,0.02077,10508510.74942,2000-05-02T03:21:24.344,15061.11122
90.09500,1.18137,-1872.73557,394705.22830,3385628.36963,1.14336,0.02100,10451122.59877,2000-05-01T11:25:02.797,15053.76180
90.10501,1.31184,-1875.33303,394781.63304,3385615.84898,1.13634,0.02079,10411482.56199,2000-05-01T00:24:21.051,15047.72455
90.11501,1.07283,-1855.78451,394655.20132,3385609.20290,1.14058,0.02105,10370181.68447,2000-04-30T12:55:59.022,15040.07676
90.12499,1.22467,-1859.90304,394708.86866,3385629.47962,1.12920,0.02083,10592239.56906,2000-05-03T02:36:57.551,15069.67602
90.13498,1.22454,-1859.84926,394715.98638,3385627.43060,1.13733,0.01989,10461822.94174,2000-05-01T14:23:26.338,15054.87014
90.14500,1.02990,-1847.85773,394683.82555,3385597.01252,1.13933,0.02196,10467737.21568,2000-05-01T16:02:01.420,15051.05473
90.15501,1.29647,-1853.24076,394742.52059,3385640.16276,1.13457,0.02133,10431202.26999,2000-05-01T05:52:57.931,15043.01073
90.16500,1.14035,-1847.40950,394643.71129,3385656.06164,1.14396,0.02229,10451234.39040,2000-05-01T11:26:49.425,15048.14360
90.17500,1.09103,-1843.88618,394615.09027,3385646.15320,1.13895,0.01940,10364803.55883,2000-04-30T11:26:28.984,15028.32137
90.18500,1.29090,-1842.58080,394745.65945,3385637.59871,1.13533,0.01916,10431226.13714,2000-05-01T05:53:27.940,15044.02766
90.19500,0.99883,-1831.58369,394578.06025,3385676.39504,1.13778,0.02026,10405074.31587,2000-04-30T22:37:36.586,15039.25778
90.20501,1.62503,-1853.69609,394829.68356,3385652.50443,1.14103,0.02038,10397583.59610,2000-04-30T20:32:41.395,15040.46534
90.21503,1.45434,-1840.43944,394814.10946,3385631.06410,1.14320,0.01966,10423116.21225,2000-05-01T03:38:21.661,15039.07605
90.22499,1.22862,-1839.03779,394667.49030,3385675.24028,1.13880,0.01952,10391150.34729,2000-04-30T18:45:30.840,15035.85963
90.23499,1.38490,-1845.84325,394732.61575,3385654.05527,1.14298,0.01987,10353649.94731,2000-04-30T08:20:33.318,15031.57667
90.24502,0.98939,-1832.89624,394590.57590,3385663.50000,1.14644,0.01972,10448087.81710,2000-05-01T10:34:25.828,15047.83770
90.25501,1.19913,-1840.39954,394663.77219,3385660.86820,1.14512,0.01883,10326907.77891,2000-04-30T00:54:45.738,15025.61393
90.26500,0.81966,-1832.64488,394489.82262,3385702.91701,1.14218,0.02030,10472303.65164,2000-05-01T17:17:56.593,15052.11535
90.27500,1.25374,-1836.80736,394672.47120,3385656.32797,1.14234,0.01966,10413188.88922,2000-05-01T00:52:39.126,15040.14192
90.28501,1.01163,-1830.16689,394560.50464,3385658.50566,1.14305,0.01917,10307561.91050,2000-04-29T19:32:17.294,15026.47423
90.29501,1.15828,-1828.80082,394662.05300,3385622.57283,1.14642,0.02001,10422601.27079,2000-05-01T03:29:37.749,15043.05395
90.30500,1.45268,-1850.96529,394746.66647,3385664.70034,1.14377,0.02002,10377276.57065,2000-04-30T14:54:11.913,15032.27055
90.31500,0.91689,-1831.16906,394499.86792,3385705.06127,1.14154,0.02200,10419851.68326,2000-05-01T02:43:50.925,15041.89992
90.32499,1.21089,-1846.74549,394662.72898,3385640.15923,1.13330,0.02047,10447560.06593,2000-05-01T10:25:43.499,15044.12871
90.33498,1.06594,-1833.35618,394610.60778,3385644.25523,1.13702,0.02048,10422832.17466,2000-05-01T03:33:29.459,15044.11727
90.34499,0.85414,-1830.94822,394500.21728,3385684.45020,1.13359,0.02097,10424336.80792,2000-05-01T03:58:32.103,15041.54929
90.35500,1.33945,-1835.30220,394694.09089,3385656.68932,1.13407,0.02180,10266925.91921,2000-04-29T08:15:09.494,15020.05484
90.36501,0.77417,-1824.34154,394465.80466,3385674.39114,1.13509,0.02013,10397420.76843,2000-04-30T20:30:04.529,15037.96724
90.37500,1.14575,-1834.83164,394634.21659,3385644.82227,1.13707,0.02069,10453874.67785,2000-05-01T12:10:50.198,15050.92862
