LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLA_RANGE,PLANET_RAD,C,A,EMPHEMERIS_TIME,UTC,ORBIT
116.73584,0.84460,-1147.92702,394798.23868,3386256.32650,1.10930,0.01842,10302061.03936,2000-04-29T18:00:50.419,15010.17447
116.74501,1.04090,-1148.57583,394942.17072,3386179.05794,1.11154,0.01854,10312826.38007,2000-04-29T21:00:15.661,15009.48813
116.75499,0.99677,-1149.46574,394861.78110,3386244.79187,1.11315,0.01903,10286926.44977,2000-04-29T13:48:39.133,15009.11302
116.76499,0.95293,-1145.15403,394859.78905,3386210.87070,1.11147,0.02159,10308369.52186,2000-04-29T19:46:05.832,15008.36652
116.77500,0.47320,-1128.61790,394664.66129,3386245.86080,1.10669,0.02133,10379139.58000,2000-04-30T15:25:24.769,15024.64090
116.78499,0.87525,-1145.22002,394836.45752,3386202.68035,1.10664,0.02006,10419451.58490,2000-05-01T02:37:26.125,15025.67251
116.79501,1.00473,-1153.16317,394947.77711,3386192.63001,1.11115,0.01949,10305148.78800,2000-04-29T18:52:28.747,15005.93991
116.80501,0.66671,-1142.35130,394757.64947,3386230.72600,1.10526,0.01772,10241876.61039,2000-04-29T01:17:42.531,14999.46639
116.81502,1.23880,-1168.47942,394989.69604,3386226.49462,1.10722,0.01954,10337708.28588,2000-04-30T03:54:49.564,15017.93860
116.82500,1.17221,-1161.31623,395002.55054,3386184.72526,1.10498,0.02072,10294122.13069,2000-04-29T15:48:33.710,15006.20187
116.83501,0.95639,-1158.21016,394882.87010,3386226.28003,1.10179,0.02023,10386222.36407,2000-04-30T17:23:45.993,15022.40959
116.84500,0.95774,-1143.34597,394918.25330,3386184.99222,1.11696,0.01996,10449211.18753,2000-05-01T10:53:22.827,15033.04634
116.85500,0.72714,-1142.84972,394833.20585,3386201.89113,1.11321,0.02053,10401047.30855,2000-04-30T21:30:30.882,15021.09640
116.86500,1.03110,-1150.76051,394890.66293,3386228.88177,1.11413,0.01866,10322189.20776,2000-04-29T23:36:19.154,15012.31473
116.87499,1.01693,-1151.09889,394945.73026,3386186.05137,1.11132,0.01955,10286866.80470,2000-04-29T13:47:41.307,15003.35543
116.88501,0.77931,-1148.23431,394836.73845,3386208.88900,1.11484,0.01899,10307208.74573,2000-04-29T19:26:38.528,15007.85942
116.89500,0.72804,-1134.66373,394831.08185,3386179.84084,1.10807,0.01812,10282755.36540,2000-04-29T12:39:04.721,15006.71818
116.90499,1.19549,-1156.44412,394953.01198,3386241.10476,1.11083,0.01664,10340471.74730,2000-04-30T04:40:54.885,15016.05668
116.91498,0.89421,-1143.56941,394851.52324,3386218.92346,1.10836,0.01792,10312801.06400,2000-04-29T20:59:51.036,15006.55690
116.92500,0.93002,-1148.10087,394881.65266,3386218.73419,1.10243,0.01785,10422163.91702,2000-05-01T03:22:33.619,15027.93995
116.93500,0.76236,-1140.34906,394834.69615,3386190.66339,1.10539,0.01733,10271933.04354,2000-04-29T09:38:35.663,15004.53022
116.94501,0.66124,-1127.93291,394729.82854,3386257.40245,1.10221,0.01675,10327187.97232,2000-04-30T00:59:31.443,15014.74051
116.95500,1.11873,-1151.03642,394966.95284,3386184.62954,1.10323,0.01756,10347458.93540,2000-04-30T06:37:30.715,15016.64645
116.96501,0.77025,-1131.35947,394787.56031,3386245.07427,1.11014,0.01746,10279942.09215,2000-04-29T11:52:12.033,15004.11448
116.97498,0.70058,-1133.34364,394738.51111,3386227.37988,1.10772,0.01843,10243690.78040,2000-04-29T01:47:56.166,15000.28550
116.98501,0.85702,-1139.08363,394846.59240,3386231.75605,1.10585,0.02203,10401601.61541,2000-04-30T21:39:54.403,15024.94306
116.99500,0.84740,-1135.99941,394838.22982,3386215.97351,1.10878,0.02029,10245121.11781,2000-04-29T02:11:48.730,15000.21498
117.00500,0.96786,-1138.67336,394839.15020,3386245.61793,1.11127,0.02098,10231655.99374,2000-04-28T22:27:22.370,14999.67884
117.01500,0.75721,-1135.75509,394766.29823,3386230.16947,1.11167,0.02048,10263195.98196,2000-04-29T07:13:06.294,15000.50015
117.02500,0.92772,-1146.81066,394797.66409,3386240.38794,1.11180,0.01990,10273655.69547,2000-04-29T10:07:21.384,15003.74906
117.03499,1.07268,-1153.15717,394900.03569,3386184.27050,1.11536,0.01914,10288598.93541,2000-04-29T14:16:25.357,15009.23413
117.04502,0.69567,-1141.13197,394709.12228,3386240.74802,1.11238,0.01902,10375468.43270,2000-04-30T14:24:21.775,15018.52691
117.05500,1.04711,-1154.58011,394826.23335,3386227.00975,1.11288,0.01982,10178918.06617,2000-04-28T07:48:23.700,14992.45311
117.06499,0.86324,-1150.52165,394816.47853,3386192.24067,1.11252,0.01978,10298773.43303,2000-04-29T17:06:00.604,15007.47557
117.07500,0.61187,-1137.72551,394658.22885,3386242.32594,1.11037,0.01863,10252707.93277,2000-04-29T04:18:12.648,15000.15354
117.08500,0.46137,-1131.42405,394626.70430,3386229.96304,1.10908,0.01988,10293083.52691,2000-04-29T15:31:14.637,15009.46079
117.09500,0.94032,-1144.22068,394800.04745,3386224.84240,1.11021,0.02000,10297079.34384,2000-04-29T16:37:51.159,15007.31784
117.10502,0.78100,-1133.09037,394727.55413,3386235.97801,1.11555,0.02188,10361827.43363,2000-04-30T10:36:52.741,15016.38514
117.11500,0.94802,-1144.87420,394811.77178,3386232.19790,1.11032,0.02496,10294308.09762,2000-04-29T15:51:30.501,15007.54196
