row,col,LAT_NORTH,LONG_EAST,TOPOGRAPHY,point_count
10,75,-0.62813,213.75102,-1441.06963,16
10,76,-0.62813,213.91984,-1378.68155,6
10,77,-0.62813,214.08866,-1254.26410,7
10,89,-0.62813,216.11452,-910.56089,4
10,92,-0.62813,216.62098,-989.20215,1
10,93,-0.62813,216.78980,-952.02739,2
10,96,-0.62813,217.29627,-767.92162,2
10,97,-0.62813,217.46509,-794.46178,5
10,98,-0.62813,217.63391,-735.26793,5
10,99,-0.62813,217.80273,-707.94425,1
10,100,-0.62813,217.97155,-705.36562,1
10,115,-0.62813,220.50387,-163.39258,5
10,116,-0.62813,220.67270,-98.70444,5
10,118,-0.62813,221.01034,-30.43776,3
11,0,-0.45930,201.08941,-1720.15676,2
11,1,-0.45930,201.25823,-1693.37101,1
11,4,-0.45930,201.76470,-1593.97690,1
11,5,-0.45930,201.93352,-1579.03911,7
11,19,-0.45930,204.29702,-1586.96083,6
11,21,-0.45930,204.63466,-1697.57854,2
11,26,-0.45930,205.47877,-2183.88005,3
11,27,-0.45930,205.64759,-2190.85052,5
11,28,-0.45930,205.81641,-2230.23852,7
11,29,-0.45930,205.98523,-2160.84570,7
11,30,-0.45930,206.15405,-2110.59214,1
11,42,-0.45930,208.17991,-2200.33911,3
11,47,-0.45930,209.02402,-2144.67899,9
11,50,-0.45930,209.53048,-2210.93743,1
11,51,-0.45930,209.69930,-2214.05373,10
11,66,-0.45930,212.23162,-1643.32163,1
11,67,-0.45930,212.40045,-1593.45231,4
11,72,-0.45930,213.24455,-1379.31035,4
11,73,-0.45930,213.41337,-1370.43081,8
11,74,-0.45930,213.58220,-1418.27420,3
11,75,-0.45930,213.75102,-1459.95682,1
11,77,-0.45930,214.08866,-1258.88310,3
11,89,-0.45930,216.11452,-918.62961,8
11,90,-0.45930,216.28334,-958.06989,1
11,91,-0.45930,216.45216,-1029.54484,1
11,92,-0.45930,216.62098,-1016.67377,1
11,97,-0.45930,217.46509,-790.63510,5
11,98,-0.45930,217.63391,-771.75346,12
11,99,-0.45930,217.80273,-731.55858,4
11,100,-0.45930,217.97155,-711.97754,5
11,102,-0.45930,218.30920,-686.67351,1
11,115,-0.45930,220.50387,-208.58150,2
12,5,-0.29048,201.93352,-1594.08776,2
12,19,-0.29048,204.29702,-1614.63793,2
12,27,-0.29048,205.64759,-2188.28025,8
12,28,-0.29048,205.81641,-2232.15003,2
12,29,-0.29048,205.98523,-2166.77442,10
12,30,-0.29048,206.15405,-2122.51234,10
12,31,-0.29048,206.32287,-2105.09858,3
12,42,-0.29048,208.17991,-2219.24849,5
12,47,-0.29048,209.02402,-2165.59247,1
12,51,-0.29048,209.69930,-2200.99563,6
12,52,-0.29048,209.86812,-2219.42432,3
12,53,-0.29048,210.03695,-2214.04622,4
12,66,-0.29048,212.23162,-1623.06694,8
12,67,-0.29048,212.40045,-1613.85302,2
12,77,-0.29048,214.08866,-1246.66436,3
12,88,-0.29048,215.94570,-993.71071,4
12,89,-0.29048,216.11452,-948.03591,5
12,90,-0.29048,216.28334,-982.63268,10
12,91,-0.29048,216.45216,-1026.32834,14
12,97,-0.29048,217.46509,-801.20910,1
12,99,-0.29048,217.80273,-754.80501,9
12,100,-0.29048,217.97155,-713.66880,11
12,101,-0.29048,218.14037,-700.29733,5
12,102,-0.29048,218.30920,-695.21558,4
12,114,-0.29048,220.33505,-276.47629,2
12,115,-0.29048,220.50387,-259.75567,5
13,5,-0.12166,201.93352,-1606.88012,4
13,18,-0.12166,204.12820,-1659.15414,2
13,27,-0.12166,205.64759,-2208.70084,2
13,30,-0.12166,206.15405,-2172.41676,6
13,31,-0.12166,206.32287,-2118.57833,4
13,42,-0.12166,208.17991,-2252.64945,1
13,51,-0.12166,209.69930,-2211.32848,1
13,52,-0.12166,209.86812,-2228.12681,13
13,53,-0.12166,210.03695,-2210.03967,7
13,54,-0.12166,210.20577,-2201.54618,4
13,65,-0.12166,212.06280,-1768.58210,4
13,66,-0.12166,212.23162,-1686.57308,6
13,67,-0.12166,212.40045,-1629.59406,2
13,78,-0.12166,214.25748,-1267.70067,1
13,88,-0.12166,215.94570,-1021.85798,7
13,90,-0.12166,216.28334,-990.69016,6
13,91,-0.12166,216.45216,-1037.09343,2
13,99,-0.12166,217.80273,-770.46387,3
13,101,-0.12166,218.14037,-718.42956,7
13,102,-0.12166,218.30920,-722.76642,8
13,114,-0.12166,220.33505,-295.38177,2
13,115,-0.12166,220.50387,-266.59008,1
14,5,0.04716,201.93352,-1596.88086,1
14,6,0.04716,202.10234,-1567.23057,3
14,16,0.04716,203.79055,-1701.56064,1
14,17,0.04716,203.95937,-1791.63151,9
14,18,0.04716,204.12820,-1745.98782,9
14,31,0.04716,206.32287,-2155.76118,1
14,41,0.04716,208.01109,-2238.10252,1
14,42,0.04716,208.17991,-2264.26562,1
14,52,0.04716,209.86812,-2230.70977,1
14,53,0.04716,210.03695,-2231.30859,1
14,54,0.04716,210.20577,-2209.76110,12
14,55,0.04716,210.37459,-2206.14808,7
14,64,0.04716,211.89398,-1947.50441,2
14,65,0.04716,212.06280,-1847.48542,7
14,66,0.04716,212.23162,-1702.87703,2
14,77,0.04716,214.08866,-1277.84524,4
14,78,0.04716,214.25748,-1282.41510,9
14,86,0.04716,215.60805,-1155.08298,1
14,87,0.04716,215.77687,-1069.96677,4
14,88,0.04716,215.94570,-1043.44246,6
14,101,0.04716,218.14037,-728.48124,1
14,102,0.04716,218.30920,-737.30384,2
14,103,0.04716,218.47802,-702.97986,2
14,114,0.04716,220.33505,-342.86401,4
15,6,0.21598,202.10234,-1580.69591,9
15,16,0.21598,203.79055,-1712.81555,1
15,17,0.21598,203.95937,-1780.75021,8
15,18,0.21598,204.12820,-1713.69426,6
15,31,0.21598,206.32287,-2184.69995,4
15,41,0.21598,208.01109,-2251.14985,4
15,42,0.21598,208.17991,-2272.09001,3
15,53,0.21598,210.03695,-2239.58166,5
15,54,0.21598,210.20577,-2211.37225,1
15,55,0.21598,210.37459,-2232.70929,3
15,64,0.21598,211.89398,-1957.23862,3
15,65,0.21598,212.06280,-1866.79889,3
15,78,0.21598,214.25748,-1295.67052,5
15,86,0.21598,215.60805,-1194.70828,5
15,87,0.21598,215.77687,-1099.98834,1
15,101,0.21598,218.14037,-753.54136,3
15,102,0.21598,218.30920,-749.83662,2
15,103,0.21598,218.47802,-723.50339,7
15,114,0.21598,220.33505,-374.87900,3
16,6,0.38480,202.10234,-1582.54456,1
16,15,0.38480,203.62173,-1692.94070,1
16,16,0.38480,203.79055,-1724.32173,4
16,31,0.38480,206.32287,-2240.39191,1
16,37,0.38480,207.33580,-2245.94981,14
16,40,0.38480,207.84227,-2317.56484,5
16,41,0.38480,208.01109,-2282.44617,9
16,55,0.38480,210.37459,-2265.98043,5
16,63,0.38480,211.72516,-2002.13843,9
16,64,0.38480,211.89398,-1971.64674,12
16,65,0.38480,212.06280,-1935.11826,3
16,78,0.38480,214.25748,-1327.52653,2
16,79,0.38480,214.42630,-1300.24502,3
16,86,0.38480,215.60805,-1240.31939,6
16,87,0.38480,215.77687,-1139.48583,6
16,103,0.38480,218.47802,-752.95792,4
16,112,0.38480,219.99741,-444.15753,4
16,113,0.38480,220.16623,-421.64672,2
16,114,0.38480,220.33505,-397.48352,4
17,6,0.55362,202.10234,-1596.28927,3
17,7,0.55362,202.27116,-1581.74589,1
17,11,0.55362,202.94645,-1736.29030,2
17,15,0.55362,203.62173,-1754.61984,11
17,16,0.55362,203.79055,-1748.35420,4
17,31,0.55362,206.32287,-2265.67869,2
17,34,0.55362,206.82934,-2268.55488,1
17,36,0.55362,207.16698,-2238.20268,4
17,37,0.55362,207.33580,-2264.30687,3
17,38,0.55362,207.50462,-2281.69462,2
17,40,0.55362,207.84227,-2332.26043,5
17,41,0.55362,208.01109,-2332.86655,2
17,55,0.55362,210.37459,-2291.70521,2
17,56,0.55362,210.54341,-2276.44272,3
17,62,0.55362,211.55634,-2025.46823,2
17,63,0.55362,211.72516,-2018.34348,7
17,79,0.55362,214.42630,-1318.38322,7
17,83,0.55362,215.10159,-1304.29474,1
17,86,0.55362,215.60805,-1255.83597,2
17,87,0.55362,215.77687,-1152.32832,6
17,103,0.55362,218.47802,-724.81326,2
17,104,0.55362,218.64684,-701.66657,2
17,109,0.55362,219.49095,-549.05070,6
17,112,0.55362,219.99741,-467.34271,10
17,113,0.55362,220.16623,-442.03913,9
17,114,0.55362,220.33505,-443.82432,2
18,6,0.72245,202.10234,-1598.20259,1
18,7,0.72245,202.27116,-1603.53175,9
18,10,0.72245,202.77762,-1749.49015,4
18,11,0.72245,202.94645,-1777.85759,10
18,12,0.72245,203.11527,-1769.34172,4
18,14,0.72245,203.45291,-1782.48881,5
18,15,0.72245,203.62173,-1775.81832,5
18,16,0.72245,203.79055,-1775.74496,6
18,31,0.72245,206.32287,-2258.29837,2
18,32,0.72245,206.49170,-2295.12410,5
18,34,0.72245,206.82934,-2300.68268,5
18,35,0.72245,206.99816,-2273.67635,6
18,36,0.72245,207.16698,-2247.24556,4
18,38,0.72245,207.50462,-2353.86164,7
18,40,0.72245,207.84227,-2332.88636,5
18,41,0.72245,208.01109,-2360.93071,1
18,56,0.72245,210.54341,-2299.04816,8
18,62,0.72245,211.55634,-2054.92354,3
